Value,Gender,Age group,3,10,50,90,97
GRADE_hyper,2,[60-70],-12.41842159,-5.774620724,15.02532526,35.82527125,42.46907212
GRADE_hyper,0,[40-50),-18.38511088,-11.94710492,8.203105771,28.3527404,34.79030729
GRADE_hyper,0,[50-60),-15.54975664,-9.114101612,11.02930176,31.17275096,37.60846115
GRADE_hyper,0,[60-70],-12.04681073,-5.61189784,14.5291165,34.67013083,41.10504372
GRADE_hyper,1,[40-50),-18.94861088,-12.05318184,9.525396731,31.10397531,37.99931118
GRADE_hyper,1,[50-60),-16.93259163,-10.03543419,11.55021434,33.13586287,40.03302031
GRADE_hyper,1,[60-70],-12.67184111,-5.775770349,15.80647725,37.38872486,44.28479562
GRADE_hypo,2,[40-50),-31.72399804,-14.57128128,39.12924187,92.82976503,109.9824818
GRADE_hypo,2,[50-60),-35.60949577,-18.45739832,35.24118596,88.93977023,106.0918677
GRADE_hypo,2,[60-70],-41.9073908,-24.75313499,28.95220651,82.65754801,99.81180382
GRADE_hypo,0,[40-50),-27.19388646,-10.01237419,43.76435258,97.54059759,114.7223204
GRADE_hypo,0,[50-60),-33.42005237,-16.23089191,37.57047781,91.37184752,108.561008
GRADE_hypo,0,[60-70],-41.06880677,-23.88815063,29.88660088,83.6613524,100.8420085
GRADE_hypo,1,[40-50),-35.62821926,-18.56433622,34.82764457,88.22970759,105.289723
GRADE_hypo,1,[50-60),-37.89444846,-20.82653279,32.58922924,86.00603233,103.0726748
GRADE_hypo,1,[60-70],-42.11397803,-25.05029212,28.35297284,81.7562378,98.8199237
HBGI,2,[40-50),-0.47339627,-0.335678614,0.095487438,0.526649145,0.664371145
HBGI,2,[50-60),-0.437880686,-0.30016605,0.130983333,0.562121089,0.699832667
HBGI,2,[60-70],-0.387651813,-0.249921988,0.181272894,0.612467775,0.7501976
HBGI,0,[40-50),-0.403233715,-0.285969402,0.081063105,0.448095612,0.565359925
HBGI,0,[50-60),-0.36950339,-0.252219681,0.114874501,0.481971786,0.599253191
HBGI,0,[60-70],-0.318296704,-0.201036856,0.165981678,0.533000212,0.650260061
HBGI,1,[40-50),-0.543934855,-0.385477166,0.110452112,0.606379815,0.764837834
HBGI,1,[50-60),-0.516399098,-0.357904257,0.138128193,0.634160644,0.792655484
HBGI,1,[60-70],-0.439857082,-0.281387214,0.214567085,0.710521383,0.868991252
LBGI,2,[40-50),-1.43265066,-0.421703481,2.743299076,5.908385416,6.919352964
LBGI,2,[50-60),-1.726325291,-0.715402932,2.449508696,5.614397724,6.62530864
LBGI,2,[60-70],-1.981801308,-0.970769203,2.194500725,5.359770625,6.370803751
LBGI,0,[40-50),-1.085646869,-0.109186412,2.946984095,6.003223781,6.979608969
LBGI,0,[50-60),-1.458592605,-0.481669526,2.576059786,5.633789098,6.610712178
LBGI,0,[60-70],-1.811547885,-0.835108137,2.221108365,5.277324867,6.253764615
LBGI,1,[40-50),-1.825422867,-0.775301194,2.511382884,5.797880343,6.848209951
LBGI,1,[50-60),-2.018603898,-0.968205689,2.319166934,5.606539556,6.656937765
LBGI,1,[60-70],-2.20427744,-1.154044726,2.132809955,5.419664636,6.46989735
Hyper index,2,[40-50),-0.100778601,-0.073825849,0.010556455,0.094938785,0.121891606
Hyper index,2,[50-60),-0.095773063,-0.068821625,0.015555471,0.099933979,0.126886014
Hyper index,2,[60-70],-0.087310526,-0.060355696,0.024032598,0.108420892,0.135375723
Hyper index,0,[40-50),-0.084367089,-0.06173537,0.009100983,0.079937336,0.102569054
Hyper index,0,[50-60),-0.080063286,-0.057426763,0.013424734,0.084275547,0.106911885
Hyper index,0,[60-70],-0.070809072,-0.048178216,0.022655441,0.093489097,0.116119954
Hyper index,1,[40-50),-0.1170163,-0.085659135,0.01247841,0.110614503,0.141972114
Hyper index,1,[50-60),-0.113501691,-0.082147026,0.015981918,0.114110862,0.145465527
Hyper index,1,[60-70],-0.100144845,-0.06879512,0.029318364,0.127431847,0.158781572
Hypo index,2,[40-50),-2.493888244,-1.669290858,0.912374526,3.493966349,4.318563778
Hypo index,2,[50-60),-2.664468886,-1.839891117,0.741622526,3.323126001,4.147691736
Hypo index,2,[60-70],-2.807949575,-1.983275185,0.598557582,3.180390349,4.005064739
Hypo index,0,[40-50),-2.101122394,-1.355730379,0.977391426,3.310476593,4.055902965
Hypo index,0,[50-60),-2.316467598,-1.570673805,0.763630288,3.097934381,3.843728174
Hypo index,0,[60-70],-2.531037875,-1.785613062,0.547536135,2.880685332,3.626110144
Hypo index,1,[40-50),-2.940124663,-2.027104643,0.830451886,3.687893714,4.600860514
Hypo index,1,[50-60),-3.041300911,-2.128007747,0.730246902,3.588557486,4.501854547
Hypo index,1,[60-70],-3.143767672,-2.230664416,0.627023855,3.484712127,4.397815383
IGC,2,[40-50),-2.474391411,-1.651988388,0.922805192,3.497527055,4.31993012
IGC,2,[50-60),-2.639611265,-1.817233754,0.757407848,3.33204191,4.154416869
IGC,2,[60-70],-2.775278123,-1.952806418,0.622127964,3.197062108,4.019533663
IGC,0,[40-50),-2.082817043,-1.339532827,0.986887145,3.31329789,4.056581901
IGC,0,[50-60),-2.293448906,-1.549797889,0.777799401,3.105396691,3.849047709
IGC,0,[60-70],-2.499537234,-1.756254137,0.570191575,2.896637288,3.639920385
IGC,1,[40-50),-2.91726672,-2.006666357,0.843599666,3.693947913,4.604549923
IGC,1,[50-60),-3.014697781,-2.103757604,0.747172036,3.598161305,4.509113168
IGC,1,[60-70],-3.104882615,-2.19409595,0.656342219,3.506780388,4.417567053
IQR,2,[40-50),5.467399246,8.041703327,16.10099314,24.16036099,26.73466421
IQR,2,[50-60),6.313290111,8.887142993,16.94519443,25.00323306,27.57708609
IQR,2,[60-70],7.467277548,10.04144492,18.10046768,26.15949043,28.7336578
IQR,0,[40-50),5.683330903,8.155246749,15.89224232,23.62923788,26.10115373
IQR,0,[50-60),6.412582489,8.884841,16.62277317,24.36060349,26.83297126
IQR,0,[60-70],7.335099315,9.806921054,17.54362207,25.28032308,27.75214482
IQR,1,[40-50),5.267115982,7.947847566,16.33762306,24.72740304,27.40806015
IQR,1,[50-60),5.941641448,8.621879129,17.01006934,25.39825955,28.07849723
